DOCUMENT ID	TYPE	START POSITION	END POSITION	MATCHED TERM	PREFERRED FORM	ENTITY ID	ZONE	SENTENCE ID	ORIGIN	UMLS CUI
Epicrisis24	biolink:AnatomicalEntity	628	632	face	face	UBERON:0001456		S10	hp-full.json	CUI-less
Epicrisis24	biolink:AnatomicalEntity	637	641	nose	nose	UBERON:0000004		S10	hp-full.json	CUI-less
Epicrisis24	biolink:AnatomicalEntity	637	641	nose	external nose	UBERON:0007827_SYNONYM		S10	hp-full.json	CUI-less
Epicrisis24	biolink:BiologicalProcess	665	671	breath	respiratory gaseous exchange by respiratory system	GO:0007585_SYNONYM		S10	hp-full.json	CUI-less
Epicrisis24	biolink:PhenotypicFeature	736	756	respiratory distress	Respiratory distress	HP:0002098		S11	hp-full.json	CUI-less
Epicrisis24	biolink:AnatomicalEntity	770	775	fluid	bodily fluid	UBERON:0006314_SYNONYM		S12	hp-full.json	CUI-less
Epicrisis24	biolink:AnatomicalEntity	809	814	blood	blood	UBERON:0000178		S12	hp-full.json	CUI-less
Epicrisis24	biolink:AnatomicalEntity	852	863	vocal cords	laryngeal vocal fold	UBERON:0003706_SYNONYM		S12	hp-full.json	CUI-less
Epicrisis24	biolink:ChemicalSubstance	902	906	acid	acid	CHEBI:37527_SYNONYM		S13	hp-full.json	CUI-less
Epicrisis24	biolink:ChemicalSubstance	902	906	acid	acid	CHEBI:37527		S13	hp-full.json	CUI-less
Epicrisis24	biolink:ChemicalSubstance	908	915	vitamin	vitamin	CHEBI:33229_SYNONYM		S13	hp-full.json	CUI-less
Epicrisis24	biolink:ChemicalSubstance	908	915	vitamin	vitamin	CHEBI:33229		S13	hp-full.json	CUI-less
Epicrisis24	biolink:ChemicalSubstance	908	917	vitamin K	vitamin K	CHEBI:28384_SYNONYM		S13	hp-full.json	CUI-less
Epicrisis24	biolink:ChemicalSubstance	908	917	vitamin K	vitamin K	CHEBI:28384		S13	hp-full.json	CUI-less
Epicrisis24	biolink:ChemicalSubstance	916	917	K	potassium(1+)	CHEBI:29103_SYNONYM		S13	hp-full.json	CUI-less
Epicrisis24	biolink:ChemicalSubstance	916	917	K	lysine	CHEBI:25094_SYNONYM		S13	hp-full.json	CUI-less
Epicrisis24	biolink:ChemicalSubstance	916	917	K	potassium atom	CHEBI:26216_SYNONYM		S13	hp-full.json	CUI-less
Epicrisis24	biolink:OntologyClass	1049	1064	high  frequency	increased frequency	PATO:0000380_SYNONYM		S15	hp-full.json	CUI-less
Epicrisis24	biolink:PhenotypicFeature	1055	1064	frequency	Frequency	HP:0040279		S15	hp-full.json	CUI-less
Epicrisis24	biolink:OntologyClass	1055	1064	frequency	frequency	PATO:0000044		S15	hp-full.json	CUI-less
Epicrisis24	biolink:OntologyClass	1077	1086	initially	onset quality	PATO:0002325_SYNONYM		S15	hp-full.json	CUI-less
Epicrisis24	biolink:ChemicalSubstance	1147	1158	antibiotics	antimicrobial agent	CHEBI:33281_SYNONYM		S16	hp-full.json	CUI-less
Epicrisis24	biolink:PhenotypicFeature	1172	1178	sepsis	Sepsis	HP:0100806		S16	hp-full.json	CUI-less
Epicrisis24	biolink:PhenotypicFeature	1212	1220	positive	Position	HP:0012830		S18	hp-full.json	CUI-less
Epicrisis24	biolink:OntologyClass	1212	1220	positive	position	PATO:0000140		S18	hp-full.json	CUI-less
Epicrisis24	biolink:OrganismalEntity	1252	1255	all	root	NCBITaxon:1_SYNONYM		S18	hp-full.json	CUI-less
Epicrisis24	biolink:AnatomicalEntity	1310	1315	chest	chest	UBERON:0001443		S19	hp-full.json	CUI-less
Epicrisis24	biolink:ChemicalSubstance	1378	1379	A	alanine	CHEBI:16449_SYNONYM		S20	hp-full.json	CUI-less
Epicrisis24	biolink:ChemicalSubstance	1378	1379	A	acceptor	CHEBI:15339_SYNONYM		S20	hp-full.json	CUI-less
Epicrisis24	biolink:ChemicalSubstance	1378	1379	A	adenine	CHEBI:16708_SYNONYM		S20	hp-full.json	CUI-less
Epicrisis24	biolink:Cell	1471	1482	macrophages	macrophage	CL:0000235		S20	hp-full.json	CUI-less
Epicrisis24	biolink:OntologyClass	1508	1521	abnormalities	abnormal	PATO:0000460		S21	hp-full.json	CUI-less
Epicrisis24	biolink:BiologicalProcess	1531	1539	Clotting	coagulation	GO:0050817_SYNONYM		S22	hp-full.json	CUI-less
Epicrisis24	biolink:ChemicalSubstance	1611	1612	A	alanine	CHEBI:16449_SYNONYM		S23	hp-full.json	CUI-less
Epicrisis24	biolink:ChemicalSubstance	1611	1612	A	acceptor	CHEBI:15339_SYNONYM		S23	hp-full.json	CUI-less
Epicrisis24	biolink:ChemicalSubstance	1611	1612	A	adenine	CHEBI:16708_SYNONYM		S23	hp-full.json	CUI-less
Epicrisis24	biolink:BiologicalProcess	1691	1699	clotting	coagulation	GO:0050817_SYNONYM		S24	hp-full.json	CUI-less
Epicrisis24	biolink:OntologyClass	1786	1794	Progress	progressive	PATO:0001818		S25	hp-full.json	CUI-less
Epicrisis24	biolink:PhenotypicFeature	1786	1794	Progress	Progressive	HP:0003676		S25	hp-full.json	CUI-less
Epicrisis24	biolink:PhenotypicFeature	1840	1849	Allergies	Allergy	HP:0012393		S25	hp-full.json	CUI-less
Epicrisis24	biolink:PhenotypicFeature	2022	2028	sepsis	Sepsis	HP:0100806		S26	hp-full.json	CUI-less
Epicrisis24	biolink:AnatomicalEntity	2061	2065	life	life cycle	UBERON:0000104_SYNONYM		S27	hp-full.json	CUI-less
Epicrisis24	biolink:OntologyClass	2269	2275	Weight	weight	PATO:0000128		S31	hp-full.json	CUI-less
Epicrisis24	biolink:OntologyClass	2290	2296	Height	height	PATO:0000119		S31	hp-full.json	CUI-less
Epicrisis18	biolink:ChemicalSubstance	3	4	M	methionine	CHEBI:16811_SYNONYM		S1	hp-full.json	CUI-less
Epicrisis18	biolink:ChemicalSubstance	82	83	S	sulfur atom	CHEBI:26833_SYNONYM		S1	hp-full.json	CUI-less
Epicrisis18	biolink:ChemicalSubstance	82	83	S	L-serine	CHEBI:17115_SYNONYM		S1	hp-full.json	CUI-less
Epicrisis18	biolink:AnatomicalEntity	224	228	tube	tube	UBERON:0000025		S1	hp-full.json	CUI-less
Epicrisis18	biolink:ChemicalSubstance	236	237	S	sulfur atom	CHEBI:26833_SYNONYM		S1	hp-full.json	CUI-less
Epicrisis18	biolink:ChemicalSubstance	236	237	S	L-serine	CHEBI:17115_SYNONYM		S1	hp-full.json	CUI-less
Epicrisis18	biolink:PhenotypicFeature	265	272	Chronic	Chronic	HP:0011010		S1	hp-full.json	CUI-less
Epicrisis18	biolink:OntologyClass	265	272	Chronic	chronic	PATO:0001863		S1	hp-full.json	CUI-less
Epicrisis18	biolink:OntologyClass	265	272	Chronic	increased duration	PATO:0000498_SYNONYM		S1	hp-full.json	CUI-less
Epicrisis18	biolink:PhenotypicFeature	273	282	recurrent	Recurrent	HP:0031796		S1	hp-full.json	CUI-less
Epicrisis18	biolink:OntologyClass	273	282	recurrent	recurrent	PATO:0000427		S1	hp-full.json	CUI-less
Epicrisis18	biolink:AnatomicalEntity	283	291	juvenile	sexually immature organism	UBERON:0007021_SYNONYM		S1	hp-full.json	CUI-less
Epicrisis18	biolink:PhenotypicFeature	292	301	parotitis	Parotitis	HP:0011850		S1	hp-full.json	CUI-less
Epicrisis18	biolink:OntologyClass	347	351	time	duration	PATO:0001309_SYNONYM		S1	hp-full.json	CUI-less
Epicrisis18	biolink:PhenotypicFeature	352	362	hemoptysis	Hemoptysis	HP:0002105		S1	hp-full.json	CUI-less
Epicrisis18	biolink:OntologyClass	367	375	decrease	decreased amount	PATO:0001997_SYNONYM		S1	hp-full.json	CUI-less
Epicrisis18	biolink:ChemicalSubstance	379	390	haemoglobin	hemoglobin	CHEBI:35143_SYNONYM		S1	hp-full.json	CUI-less
Epicrisis18	biolink:PhenotypicFeature	400	410	pharyngeal	Pharyngitis	HP:0025439		S2	hp-full.json	CUI-less
Epicrisis18	biolink:BiologicalProcess	411	420	secretion	secretion	GO:0046903		S2	hp-full.json	CUI-less
Epicrisis18	biolink:AnatomicalEntity	411	420	secretion	secretion of exocrine gland	UBERON:0000456_SYNONYM		S2	hp-full.json	CUI-less
Epicrisis18	biolink:OntologyClass	463	468	small	decreased size	PATO:0000587_SYNONYM		S3	hp-full.json	CUI-less
Epicrisis18	biolink:AnatomicalEntity	490	497	nodules	germinal center	UBERON:0010754_SYNONYM		S3	hp-full.json	CUI-less
Epicrisis18	biolink:AnatomicalEntity	516	521	fluid	bodily fluid	UBERON:0006314_SYNONYM		S3	hp-full.json	CUI-less
Epicrisis18	biolink:PhenotypicFeature	531	538	diffuse	Diffuse	HP:0020034		S3	hp-full.json	CUI-less
Epicrisis18	biolink:PhenotypicFeature	531	558	diffuse alveolar hemorrhage	Diffuse alveolar hemorrhage	HP:0025420		S3	hp-full.json	CUI-less
Epicrisis18	biolink:OntologyClass	548	558	hemorrhage	broken	PATO:0001444_SYNONYM		S3	hp-full.json	CUI-less
Epicrisis18	biolink:AnatomicalEntity	583	589	thorax	chest	UBERON:0001443_SYNONYM		S4	hp-full.json	CUI-less
Epicrisis18	biolink:AnatomicalEntity	583	589	thorax	thoracic segment of trunk	UBERON:0000915_SYNONYM		S4	hp-full.json	CUI-less
Epicrisis18	biolink:ChemicalSubstance	689	697	steroids	steroid	CHEBI:35341		S4	hp-full.json	CUI-less
Epicrisis18	biolink:ChemicalSubstance	689	697	steroids	steroid	CHEBI:35341_SYNONYM		S4	hp-full.json	CUI-less
Epicrisis18	biolink:OntologyClass	703	710	started	starts	RO:0002223		S4	hp-full.json	CUI-less
Epicrisis18	biolink:OntologyClass	726	734	tapering	tapered	PATO:0001500		S4	hp-full.json	CUI-less
Epicrisis18	biolink:OntologyClass	726	734	tapering	tapered	PATO:0001500_SYNONYM		S4	hp-full.json	CUI-less
Epicrisis18	biolink:ChemicalSubstance	738	746	steroids	steroid	CHEBI:35341		S4	hp-full.json	CUI-less
Epicrisis18	biolink:ChemicalSubstance	738	746	steroids	steroid	CHEBI:35341_SYNONYM		S4	hp-full.json	CUI-less
Epicrisis18	biolink:PhenotypicFeature	772	781	recurrent	Recurrent	HP:0031796		S4	hp-full.json	CUI-less
Epicrisis18	biolink:OntologyClass	772	781	recurrent	recurrent	PATO:0000427		S4	hp-full.json	CUI-less
Epicrisis18	biolink:PhenotypicFeature	782	792	hemoptysis	Hemoptysis	HP:0002105		S4	hp-full.json	CUI-less
Epicrisis18	biolink:OntologyClass	822	829	started	starts	RO:0002223		S4	hp-full.json	CUI-less
Epicrisis18	biolink:ChemicalSubstance	852	860	steroids	steroid	CHEBI:35341		S4	hp-full.json	CUI-less
Epicrisis18	biolink:ChemicalSubstance	852	860	steroids	steroid	CHEBI:35341_SYNONYM		S4	hp-full.json	CUI-less
Epicrisis18	biolink:PhenotypicFeature	907	916	parotitis	Parotitis	HP:0011850		S4	hp-full.json	CUI-less
Epicrisis18	biolink:PhenotypicFeature	943	949	stable	Stable	HP:0031915		S4	hp-full.json	CUI-less
Epicrisis19	biolink:ChemicalSubstance	3	4	M	methionine	CHEBI:16811_SYNONYM		S1	hp-full.json	CUI-less
Epicrisis19	biolink:PhenotypicFeature	24	38	Family history	Family history	HP:0032316		S1	hp-full.json	CUI-less
Epicrisis19	biolink:PhenotypicFeature	65	79	Family history	Family history	HP:0032316		S1	hp-full.json	CUI-less
Epicrisis19	biolink:OntologyClass	100	108	multiple	multiple	PATO:0002118		S1	hp-full.json	CUI-less
Epicrisis19	biolink:OntologyClass	109	118	sclerosis	sclerosis	MPATH:184		S1	hp-full.json	CUI-less
Epicrisis19	biolink:AnatomicalEntity	177	183	female	female organism	UBERON:0003100_SYNONYM		S1	hp-full.json	CUI-less
Epicrisis19	biolink:OntologyClass	185	191	mature	maturity	PATO:0000261		S1	hp-full.json	CUI-less
Epicrisis19	biolink:OntologyClass	185	191	mature	mature	PATO:0001701		S1	hp-full.json	CUI-less
Epicrisis19	biolink:BiologicalProcess	247	258	gestational	female pregnancy	GO:0007565_SYNONYM		S1	hp-full.json	CUI-less
Epicrisis19	biolink:ChemicalSubstance	280	286	oxygen	oxygen atom	CHEBI:25805_SYNONYM		S1	hp-full.json	CUI-less
Epicrisis19	biolink:ChemicalSubstance	280	286	oxygen	dioxygen	CHEBI:15379_SYNONYM		S1	hp-full.json	CUI-less
Epicrisis19	biolink:OntologyClass	341	346	start	starts	RO:0002223		S1	hp-full.json	CUI-less
Epicrisis19	biolink:AnatomicalEntity	386	390	life	life cycle	UBERON:0000104_SYNONYM		S1	hp-full.json	CUI-less
Epicrisis19	biolink:OrganismalEntity	392	395	all	root	NCBITaxon:1_SYNONYM		S1	hp-full.json	CUI-less
Epicrisis19	biolink:OntologyClass	419	425	bright	high saturation	PATO:0001229_SYNONYM		S1	hp-full.json	CUI-less
Epicrisis19	biolink:OntologyClass	426	429	red	red	PATO:0000322		S1	hp-full.json	CUI-less
Epicrisis19	biolink:AnatomicalEntity	430	435	blood	blood	UBERON:0000178		S1	hp-full.json	CUI-less
Epicrisis19	biolink:PhenotypicFeature	493	509	productive cough	Productive cough	HP:0031245		S1	hp-full.json	CUI-less
Epicrisis19	biolink:PhenotypicFeature	504	509	cough	Cough	HP:0012735_SYNONYM		S1	hp-full.json	CUI-less
Epicrisis19	biolink:PhenotypicFeature	504	509	cough	Cough	HP:0012735		S1	hp-full.json	CUI-less
Epicrisis19	biolink:PhenotypicFeature	514	521	dyspnea	Dyspnea	HP:0002094		S1	hp-full.json	CUI-less
Epicrisis19	biolink:OntologyClass	604	612	atrophic	atrophied	PATO:0001623_SYNONYM		S2	hp-full.json	CUI-less
Epicrisis19	biolink:AnatomicalEntity	613	619	kidney	kidney	UBERON:0002113		S2	hp-full.json	CUI-less
Epicrisis19	biolink:PhenotypicFeature	627	631	left	Left	HP:0012835		S2	hp-full.json	CUI-less
Epicrisis19	biolink:OntologyClass	781	787	normal	normal	PATO:0000461		S2	hp-full.json	CUI-less
Epicrisis19	biolink:AnatomicalEntity	819	823	Nose	nose	UBERON:0000004		S2	hp-full.json	CUI-less
Epicrisis19	biolink:AnatomicalEntity	819	823	Nose	external nose	UBERON:0007827_SYNONYM		S2	hp-full.json	CUI-less
Epicrisis19	biolink:AnatomicalEntity	888	895	abdomen	abdomen	UBERON:0000916		S2	hp-full.json	CUI-less
Epicrisis19	biolink:OntologyClass	929	937	ruptured	broken	PATO:0001444_SYNONYM		S2	hp-full.json	CUI-less
Epicrisis19	biolink:PhenotypicFeature	1008	1019	atelectasis	Atelectasis	HP:0100750		S2	hp-full.json	CUI-less
Epicrisis19	biolink:OntologyClass	1040	1051	obstruction	obstructed	PATO:0000648		S3	hp-full.json	CUI-less
Epicrisis19	biolink:AnatomicalEntity	1067	1075	bronchus	bronchus	UBERON:0002185		S3	hp-full.json	CUI-less
Epicrisis19	biolink:OntologyClass	1182	1189	blocked	closed	PATO:0000608_SYNONYM		S3	hp-full.json	CUI-less
Epicrisis19	biolink:AnatomicalEntity	1193	1198	blood	blood	UBERON:0000178		S3	hp-full.json	CUI-less
Epicrisis19	biolink:BiologicalProcess	1193	1203	blood clot	blood coagulation	GO:0007596_SYNONYM		S3	hp-full.json	CUI-less
Epicrisis19	biolink:BiologicalProcess	1199	1203	clot	coagulation	GO:0050817_SYNONYM		S3	hp-full.json	CUI-less
Epicrisis19	biolink:AnatomicalEntity	1216	1221	blood	blood	UBERON:0000178		S3	hp-full.json	CUI-less
Epicrisis19	biolink:OntologyClass	1244	1250	system	system	RO:0002577		S3	hp-full.json	CUI-less
Epicrisis19	biolink:AnatomicalEntity	1244	1250	system	anatomical system	UBERON:0000467_SYNONYM		S3	hp-full.json	CUI-less
Epicrisis19	biolink:AnatomicalEntity	1256	1265	organized	compound organ	UBERON:0003103_SYNONYM		S3	hp-full.json	CUI-less
Epicrisis19	biolink:AnatomicalEntity	1256	1265	organized	multicellular organism	UBERON:0000468_SYNONYM		S3	hp-full.json	CUI-less
Epicrisis19	biolink:OntologyClass	1256	1265	organized	organism	OBI:0100026		S3	hp-full.json	CUI-less
Epicrisis19	biolink:AnatomicalEntity	1256	1265	organized	organ	UBERON:0000062		S3	hp-full.json	CUI-less
Epicrisis19	biolink:BiologicalProcess	1266	1270	clot	coagulation	GO:0050817_SYNONYM		S3	hp-full.json	CUI-less
Epicrisis19	biolink:OntologyClass	1290	1296	system	system	RO:0002577		S3	hp-full.json	CUI-less
Epicrisis19	biolink:AnatomicalEntity	1290	1296	system	anatomical system	UBERON:0000467_SYNONYM		S3	hp-full.json	CUI-less
Epicrisis19	biolink:Cell	1401	1412	macrophages	macrophage	CL:0000235		S3	hp-full.json	CUI-less
Epicrisis19	biolink:Cell	1418	1429	lymphocytes	lymphocyte	CL:0000542		S3	hp-full.json	CUI-less
Epicrisis19	biolink:Cell	1434	1437	PMN	neutrophil	CL:0000775_SYNONYM		S3	hp-full.json	CUI-less
Epicrisis19	biolink:ChemicalSubstance	1442	1445	PAS	propionic acid	CHEBI:30768_SYNONYM		S3	hp-full.json	CUI-less
Epicrisis19	biolink:AnatomicalEntity	1442	1445	PAS	subclavian artery	UBERON:0001533_SYNONYM		S3	hp-full.json	CUI-less
Epicrisis19	biolink:ChemicalSubstance	1442	1445	PAS	phenylacetic acid	CHEBI:30745_SYNONYM		S3	hp-full.json	CUI-less
Epicrisis19	biolink:Cell	1481	1492	macrophages	macrophage	CL:0000235		S3	hp-full.json	CUI-less
Epicrisis19	biolink:AnatomicalEntity	1498	1501	fat	adipose tissue	UBERON:0001013_SYNONYM		S3	hp-full.json	CUI-less
Epicrisis19	biolink:MolecularActivity	1592	1595	MPO	peroxidase activity	GO:0004601_SYNONYM		S3	hp-full.json	CUI-less
Epicrisis19	biolink:AnatomicalEntity	1612	1615	GBM	glomerular basement membrane	UBERON:0005777_SYNONYM		S3	hp-full.json	CUI-less
Epicrisis19	biolink:AnatomicalEntity	1619	1623	Lung	pair of lungs	UBERON:0000170_SYNONYM		S3	hp-full.json	CUI-less
Epicrisis19	biolink:AnatomicalEntity	1619	1623	Lung	lung	UBERON:0002048		S3	hp-full.json	CUI-less
Epicrisis19	biolink:BiologicalProcess	1652	1656	clot	coagulation	GO:0050817_SYNONYM		S3	hp-full.json	CUI-less
Epicrisis19	biolink:AnatomicalEntity	1658	1663	blood	blood	UBERON:0000178		S3	hp-full.json	CUI-less
Epicrisis19	biolink:AnatomicalEntity	1675	1679	Lung	pair of lungs	UBERON:0000170_SYNONYM		S3	hp-full.json	CUI-less
Epicrisis19	biolink:AnatomicalEntity	1675	1679	Lung	lung	UBERON:0002048		S3	hp-full.json	CUI-less
Epicrisis19	biolink:OntologyClass	1680	1688	function	functionality	PATO:0001509		S3	hp-full.json	CUI-less
Epicrisis19	biolink:OntologyClass	1680	1688	function	function	BFO:0000034		S3	hp-full.json	CUI-less
Epicrisis19	biolink:OntologyClass	1680	1688	function	functional	PATO:0001510		S3	hp-full.json	CUI-less
Epicrisis19	biolink:AnatomicalEntity	1745	1749	test	testis	UBERON:0000473_SYNONYM		S3	hp-full.json	CUI-less
Epicrisis19	biolink:PhenotypicFeature	1776	1784	excluded	Excluded	HP:0040285		S3	hp-full.json	CUI-less
Epicrisis25	biolink:ChemicalSubstance	3	4	M	methionine	CHEBI:16811_SYNONYM		S1	hp-full.json	CUI-less
Epicrisis25	biolink:BiologicalProcess	34	45	Gestational	female pregnancy	GO:0007565_SYNONYM		S1	hp-full.json	CUI-less
Epicrisis25	biolink:PhenotypicFeature	122	129	healthy	Healthy	HP:0032322		S1	hp-full.json	CUI-less
Epicrisis25	biolink:PhenotypicFeature	186	193	healthy	Healthy	HP:0032322		S1	hp-full.json	CUI-less
Epicrisis25	biolink:AnatomicalEntity	216	220	lung	pair of lungs	UBERON:0000170_SYNONYM		S1	hp-full.json	CUI-less
Epicrisis25	biolink:AnatomicalEntity	216	220	lung	lung	UBERON:0002048		S1	hp-full.json	CUI-less
Epicrisis25	biolink:PhenotypicFeature	216	229	lung diseases	Abnormal lung morphology	HP:0002088_SYNONYM		S1	hp-full.json	CUI-less
Epicrisis25	biolink:PhenotypicFeature	350	357	anaemia	Anemia	HP:0001903_SYNONYM		S1	hp-full.json	CUI-less
Epicrisis25	biolink:Cell	389	400	Erythrocyte	erythrocyte	CL:0000232		S1	hp-full.json	CUI-less
Epicrisis25	biolink:PhenotypicFeature	458	471	Spherocytosis	Spherocytosis	HP:0004444		S1	hp-full.json	CUI-less
Epicrisis25	biolink:OntologyClass	501	505	time	duration	PATO:0001309_SYNONYM		S1	hp-full.json	CUI-less
Epicrisis25	biolink:PhenotypicFeature	506	515	transient	Transient	HP:0025153		S1	hp-full.json	CUI-less
Epicrisis25	biolink:PhenotypicFeature	606	615	recurrent	Recurrent	HP:0031796		S2	hp-full.json	CUI-less
Epicrisis25	biolink:OntologyClass	606	615	recurrent	recurrent	PATO:0000427		S2	hp-full.json	CUI-less
Epicrisis25	biolink:OntologyClass	620	630	increasing	increased amount	PATO:0000470_SYNONYM		S2	hp-full.json	CUI-less
Epicrisis25	biolink:PhenotypicFeature	631	639	coughing	Cough	HP:0012735_SYNONYM		S2	hp-full.json	CUI-less
Epicrisis25	biolink:PhenotypicFeature	631	639	coughing	Cough	HP:0012735		S2	hp-full.json	CUI-less
Epicrisis25	biolink:AnatomicalEntity	651	656	mucus	mucus	UBERON:0000912		S2	hp-full.json	CUI-less
Epicrisis25	biolink:AnatomicalEntity	657	662	blood	blood	UBERON:0000178		S2	hp-full.json	CUI-less
Epicrisis25	biolink:OntologyClass	746	751	times	duration	PATO:0001309_SYNONYM		S3	hp-full.json	CUI-less
Epicrisis25	biolink:PhenotypicFeature	759	767	coughing	Cough	HP:0012735_SYNONYM		S3	hp-full.json	CUI-less
Epicrisis25	biolink:PhenotypicFeature	759	767	coughing	Cough	HP:0012735		S3	hp-full.json	CUI-less
Epicrisis25	biolink:OntologyClass	772	779	reduced	decreased size	PATO:0000587_SYNONYM		S4	hp-full.json	CUI-less
Epicrisis25	biolink:OntologyClass	772	779	reduced	decreased amount	PATO:0001997_SYNONYM		S4	hp-full.json	CUI-less
Epicrisis25	biolink:OntologyClass	867	872	times	duration	PATO:0001309_SYNONYM		S4	hp-full.json	CUI-less
Epicrisis25	biolink:PhenotypicFeature	877	882	fever	Fever	HP:0001945		S5	hp-full.json	CUI-less
Epicrisis25	biolink:PhenotypicFeature	887	898	night sweat	Night sweats	HP:0030166		S5	hp-full.json	CUI-less
Epicrisis25	biolink:AnatomicalEntity	893	898	sweat	sweat	UBERON:0001089		S5	hp-full.json	CUI-less
Epicrisis25	biolink:PhenotypicFeature	893	898	sweat	Hyperhidrosis	HP:0000975_SYNONYM		S5	hp-full.json	CUI-less
Epicrisis25	biolink:AnatomicalEntity	903	907	nose	nose	UBERON:0000004		S5	hp-full.json	CUI-less
Epicrisis25	biolink:AnatomicalEntity	903	907	nose	external nose	UBERON:0007827_SYNONYM		S5	hp-full.json	CUI-less
Epicrisis25	biolink:PhenotypicFeature	903	916	nose-bleeding	Epistaxis	HP:0000421_SYNONYM		S5	hp-full.json	CUI-less
Epicrisis25	biolink:OntologyClass	942	948	normal	normal	PATO:0000461		S6	hp-full.json	CUI-less
Epicrisis25	biolink:OntologyClass	1007	1014	pattern	spatial pattern	PATO:0000060_SYNONYM		S6	hp-full.json	CUI-less
Epicrisis25	biolink:AnatomicalEntity	1082	1086	drop	feces	UBERON:0001988_SYNONYM		S6	hp-full.json	CUI-less
Epicrisis25	biolink:ChemicalSubstance	1090	1096	oxygen	oxygen atom	CHEBI:25805_SYNONYM		S6	hp-full.json	CUI-less
Epicrisis25	biolink:ChemicalSubstance	1090	1096	oxygen	dioxygen	CHEBI:15379_SYNONYM		S6	hp-full.json	CUI-less
Epicrisis25	biolink:OntologyClass	1186	1192	normal	normal	PATO:0000461		S6	hp-full.json	CUI-less
Epicrisis25	biolink:PhenotypicFeature	1194	1202	positive	Position	HP:0012830		S6	hp-full.json	CUI-less
Epicrisis25	biolink:OntologyClass	1194	1202	positive	position	PATO:0000140		S6	hp-full.json	CUI-less
Epicrisis25	biolink:ChemicalSubstance	1203	1205	Fe	iron atom	CHEBI:18248_SYNONYM		S6	hp-full.json	CUI-less
Epicrisis25	biolink:PhenotypicFeature	1224	1228	mild	Mild	HP:0012825		S6	hp-full.json	CUI-less
Epicrisis25	biolink:Cell	1242	1253	neutrophils	neutrophil	CL:0000775		S6	hp-full.json	CUI-less
Epicrisis25	biolink:Cell	1254	1265	eosinophils	acidophilic cytoplasm	OBO:CP_0000027_SYNONYM		S6	hp-full.json	CUI-less
Epicrisis25	biolink:Cell	1254	1265	eosinophils	eosinophil	CL:0000771		S6	hp-full.json	CUI-less
Epicrisis25	biolink:BiologicalProcess	1277	1282	Urine	micturition	GO:0060073_SYNONYM		S6	hp-full.json	CUI-less
Epicrisis25	biolink:AnatomicalEntity	1277	1282	Urine	urine	UBERON:0001088		S6	hp-full.json	CUI-less
Epicrisis25	biolink:PhenotypicFeature	1294	1305	Proteinuria	Proteinuria	HP:0000093		S6	hp-full.json	CUI-less
Epicrisis25	biolink:ChemicalSubstance	1307	1314	Protein	protein	CHEBI:36080_SYNONYM		S6	hp-full.json	CUI-less
Epicrisis25	biolink:ChemicalSubstance	1307	1314	Protein	protein polypeptide chain	CHEBI:16541_SYNONYM		S6	hp-full.json	CUI-less
Epicrisis25	biolink:Protein	1307	1314	Protein	protein	PR:000000001		S6	hp-full.json	CUI-less
Epicrisis25	biolink:ChemicalSubstance	1307	1314	Protein	protein	CHEBI:36080		S6	hp-full.json	CUI-less
